gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
SCAPER,GMP,0.001316,1,1,other,0.0,0.0033,436
CSTA,GMP,0.001312,1,1,other,0.0,0.0033,437
ARHGAP24,GMP,0.001302,1,1,other,0.0,0.0033,438
AGPS,GMP,0.001298,1,1,other,0.0,0.0032,439
INVS,GMP,0.001298,1,1,other,0.0,0.0032,440
FOXO3,GMP,0.001289,1,1,tf,0.0,0.0025,441
CBLB,GMP,0.001282,1,1,other,0.0,0.0032,442
CEACAM6,GMP,0.001281,1,1,other,0.0,0.0032,443
ST3GAL3,GMP,0.00128,1,1,other,0.0,0.0032,444
CAMKMT,GMP,0.001275,1,1,other,0.0,0.0032,445
TUT4,GMP,0.001232,1,1,other,0.0,0.0031,446
NR6A1,GMP,0.001226,1,1,other,0.0,0.0031,447
PVT1,GMP,0.00122,1,1,other,0.0,0.0031,448
CPNE8,GMP,0.001214,1,1,other,0.0,0.003,449
DIAPH3,GMP,0.001186,1,1,other,0.0,0.003,450
ARMH3,GMP,0.001184,1,1,other,0.0,0.003,451
RPL23,GMP,0.001181,1,1,ribosomal,0.0,0.0054,452
AREG,GMP,0.00118,1,1,other,0.0,0.0029,453
HIF1A,GMP,0.001175,1,1,tf,0.0,0.0023,454
PHACTR2,GMP,0.001157,1,1,other,0.0,0.0029,455
SIPA1L1,GMP,0.001154,1,1,other,0.0,0.0029,456
ERVMER61-1,GMP,0.001143,1,1,other,0.0,0.0029,457
COL24A1,GMP,0.00113,1,1,other,0.0,0.0028,458
RPS6KA5,GMP,0.001129,1,1,ribosomal,0.0,0.0051,459
AHSP,GMP,0.001124,1,1,other,0.0,0.0028,460
TBXAS1,GMP,0.00112,1,1,other,0.0,0.0028,461
FBXL20,GMP,0.001119,1,1,other,0.0,0.0028,462
TRPS1,GMP,0.001109,1,1,other,0.0,0.0028,463
GMDS-DT,GMP,0.001105,1,1,other,0.0,0.0028,464
DMXL2,GMP,0.001105,1,1,other,0.0,0.0028,465
HMGB1,GMP,0.0011,1,1,other,0.0,0.0027,466
HBD,GMP,0.0011,1,1,hemoglobin,0.0,0.0061,467
CCSER1,GMP,0.001085,1,1,other,0.0,0.0027,468
ADAMTSL4-AS1,GMP,0.001067,1,1,other,0.0,0.0027,469
GRB10,GMP,0.001035,1,1,other,0.0,0.0026,470
LATS2,GMP,0.001032,1,1,other,0.0,0.0026,471
ERLIN1,GMP,0.00103,1,1,other,0.0,0.0026,472
NEK7,GMP,0.001026,1,1,other,0.0,0.0026,473
AIF1,GMP,0.001022,1,1,other,0.0,0.0026,474
DUSP1,GMP,0.001018,1,1,other,0.0,0.0025,475
AC008014.1,GMP,0.001012,1,1,other,0.0,0.0025,476
TMEM131L,GMP,0.00101,1,1,other,0.0,0.0025,477
MIR222HG,GMP,0.001007,1,1,other,0.0,0.0025,478
TANC2,GMP,0.000994,1,1,other,0.0,0.0025,479
RPS6KC1,GMP,0.000993,1,1,ribosomal,0.0,0.0045,480
MAPK8,GMP,0.000993,1,1,other,0.0,0.0025,481
WDPCP,GMP,0.000991,1,1,other,0.0,0.0025,482
SINHCAF,GMP,0.000983,1,1,other,0.0,0.0025,483
PLAGL1,GMP,0.000967,1,1,other,0.0,0.0024,484
STOX2,GMP,0.000955,1,1,other,0.0,0.0024,485
SFMBT2,GMP,0.00095,1,1,other,0.0,0.0024,486
AOPEP,GMP,0.000928,1,1,other,0.0,0.0023,487
CA1,GMP,0.000925,1,1,other,0.0,0.0023,488
SAT1,GMP,0.000922,1,1,other,0.0,0.0023,489
ZC3HAV1,GMP,0.000883,1,1,other,0.0,0.0022,490
RNF130,GMP,0.00088,1,1,other,0.0,0.0022,491
SERPINB10,GMP,0.000873,1,1,other,0.0,0.0022,492
POLA1,GMP,0.000872,1,1,other,0.0,0.0022,493
LINC01473,GMP,0.000869,1,1,other,0.0,0.0022,494
MAP4K3,GMP,0.000869,1,1,other,0.0,0.0022,495
ACSL1,GMP,0.000858,1,1,other,0.0,0.0021,496
EMILIN2,GMP,0.000849,1,1,other,0.0,0.0021,497
FCN1,GMP,0.000829,1,1,other,0.0,0.0021,498
PHACTR4,GMP,0.000828,1,1,other,0.0,0.0021,499
RAPGEF1,GMP,0.000811,1,1,other,0.0,0.002,500
GRK3,GMP,0.000803,1,1,other,0.0,0.002,501
MTHFD1L,GMP,0.000793,1,1,other,0.0,0.002,502
TRAF3IP2-AS1,GMP,0.000788,1,1,other,0.0,0.002,503
SPATA5,GMP,0.000767,1,1,other,0.0,0.0019,504
TASOR2,GMP,0.000758,1,1,other,0.0,0.0019,505
ECPAS,GMP,0.000742,1,1,other,0.0,0.0019,506
IGLL1,GMP,0.000741,1,1,immunoglobulin,0.0,0.0034,507
WRN,GMP,0.000715,1,1,other,0.0,0.0018,508
