gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
ADK,CD4+ T,0.004996,1,3,other,0.0,0.0125,210
MSI2,CD4+ T,0.00499,1,3,other,0.0,0.0125,211
NOP53,CD4+ T,0.004984,1,3,other,0.0,0.0125,212
JARID2,CD4+ T,0.004973,1,3,tf,0.0,0.0096,213
ATP5MD,CD4+ T,0.00493,1,3,other,0.0,0.0123,214
IMMP2L,CD4+ T,0.004844,1,3,other,0.0,0.0121,215
SSBP2,CD4+ T,0.004786,1,3,other,0.0,0.012,216
FAF1,CD4+ T,0.004709,1,3,other,0.0,0.0118,217
LYN,CD4+ T,0.004581,1,3,other,0.0,0.0115,218
DENND4A,CD4+ T,0.004571,1,3,other,0.0,0.0114,219
EXOC4,CD4+ T,0.004553,1,3,other,0.0,0.0114,220
EIF4G3,CD4+ T,0.00454,1,3,other,0.0,0.0114,221
GIHCG,CD4+ T,0.004518,1,3,other,0.0,0.0113,222
NUCB2,CD4+ T,0.004518,1,3,other,0.0,0.0113,223
ABCC4,CD4+ T,0.004516,1,3,other,0.0,0.0113,224
STAG1,CD4+ T,0.00451,1,3,other,0.0,0.0113,225
HIST1H4C,CD4+ T,0.004414,1,3,other,0.0,0.011,226
CDKAL1,CD4+ T,0.004309,1,3,other,0.0,0.0108,227
CYTOR,CD4+ T,0.004302,1,3,other,0.0,0.0108,228
FCHSD2,CD4+ T,0.004229,1,3,other,0.0,0.0106,229
ATP5F1C,CD4+ T,0.004224,1,3,other,0.0,0.0106,230
PDZD8,CD4+ T,0.004176,1,3,other,0.0,0.0104,231
TAFA2,CD4+ T,0.004175,1,3,other,0.0,0.0104,232
IQGAP2,CD4+ T,0.004172,1,3,other,0.0,0.0104,233
RERE,CD4+ T,0.004088,1,3,other,0.0,0.0102,234
RNASEK,CD4+ T,0.004086,1,3,other,0.0,0.0102,235
SEPTIN6,CD4+ T,0.004052,1,3,other,0.0,0.0101,236
RPS17,CD4+ T,0.004034,1,3,ribosomal,0.0,0.0183,237
KMT2C,CD4+ T,0.003964,1,3,other,0.0,0.0099,238
ATP5MC1,CD4+ T,0.003937,1,3,other,0.0,0.0098,239
LRMDA,CD4+ T,0.003841,1,3,other,0.0,0.0096,240
KCNQ5,CD4+ T,0.003825,1,3,other,0.0,0.0096,241
ITGA2B,CD4+ T,0.003825,1,3,other,0.0,0.0096,242
CDC42SE2,CD4+ T,0.003823,1,3,other,0.0,0.0096,243
TRIR,CD4+ T,0.003769,1,3,other,0.0,0.0094,244
TOMM6,CD4+ T,0.003669,1,3,other,0.0,0.0092,245
TYMS,CD4+ T,0.003603,1,3,other,0.0,0.009,246
BMP2K,CD4+ T,0.003565,1,3,other,0.0,0.0089,247
CERS6,CD4+ T,0.003538,1,3,other,0.0,0.0088,248
HBG2,CD4+ T,0.003506,1,3,hemoglobin,0.0,0.0195,249
TAOK3,CD4+ T,0.003497,1,3,other,0.0,0.0087,250
CCL5,CD4+ T,0.003458,1,3,other,0.0,0.0086,251
VAV3,CD4+ T,0.003421,1,3,other,0.0,0.0086,252
FOXN3,CD4+ T,0.003421,1,3,other,0.0,0.0086,253
RPL37A,CD4+ T,0.003419,1,3,ribosomal,0.0,0.0155,254
RAD51B,CD4+ T,0.003405,1,3,other,0.0,0.0085,255
H2AFZ,CD4+ T,0.003341,1,3,other,0.0,0.0084,256
GLUL,CD4+ T,0.003293,1,3,other,0.0,0.0082,257
TUBB,CD4+ T,0.003292,1,3,other,0.0,0.0082,258
RPS10,CD4+ T,0.003243,1,3,ribosomal,0.0,0.0147,259
RNF220,CD4+ T,0.003236,1,3,other,0.0,0.0081,260
HERC1,CD4+ T,0.003177,1,3,other,0.0,0.0079,261
CA1,CD4+ T,0.003119,1,3,other,0.0,0.0078,262
TFDP2,CD4+ T,0.003118,1,3,other,0.0,0.0078,263
GNLY,CD4+ T,0.003096,1,3,other,0.0,0.0077,264
KIAA1211,CD4+ T,0.003078,1,3,other,0.0,0.0077,265
LYL1,CD4+ T,0.003061,1,3,tf,0.0,0.0059,266
FABP5,CD4+ T,0.003029,1,3,other,0.0,0.0076,267
HBM,CD4+ T,0.003024,1,3,hemoglobin,0.0,0.0168,268
ANKRD17,CD4+ T,0.003003,1,3,other,0.0,0.0075,269
VPS13B,CD4+ T,0.003003,1,3,other,0.0,0.0075,270
AUTS2,CD4+ T,0.002916,1,3,other,0.0,0.0073,271
MBD5,CD4+ T,0.002911,1,3,other,0.0,0.0073,272
ATP2C1,CD4+ T,0.002889,1,3,other,0.0,0.0072,273
COP1,CD4+ T,0.002867,1,3,other,0.0,0.0072,274
H2AFY,CD4+ T,0.002818,1,3,other,0.0,0.007,275
PPP3R1,CD4+ T,0.00281,1,3,other,0.0,0.007,276
PHACTR4,CD4+ T,0.002791,1,3,other,0.0,0.007,277
HBD,CD4+ T,0.002761,1,3,hemoglobin,0.0,0.0153,278
SEM1,CD4+ T,0.002752,1,3,other,0.0,0.0069,279
TNFAIP3,CD4+ T,0.002734,1,3,other,0.0,0.0068,280
MT-ND4,CD4+ T,0.002721,1,3,mitochondrial,0.0,0.0097,281
RTRAF,CD4+ T,0.002673,1,3,other,0.0,0.0067,282
PICALM,CD4+ T,0.002629,1,3,other,0.0,0.0066,283
RNF24,CD4+ T,0.002612,1,3,other,0.0,0.0065,284
MT-ND3,CD4+ T,0.002586,1,3,mitochondrial,0.0,0.0092,285
SPIDR,CD4+ T,0.002583,1,3,other,0.0,0.0065,286
RPS2,CD4+ T,0.002579,1,3,ribosomal,0.0,0.0117,287
ARIH1,CD4+ T,0.002494,1,3,other,0.0,0.0062,288
RPS20,CD4+ T,0.002479,1,3,ribosomal,0.0,0.0113,289
LDLRAD4,CD4+ T,0.002471,1,3,other,0.0,0.0062,290
NKG7,CD4+ T,0.00247,1,3,other,0.0,0.0062,291
MCTP2,CD4+ T,0.002453,1,3,other,0.0,0.0061,292
PRDX2,CD4+ T,0.002453,1,3,other,0.0,0.0061,293
ATP5PB,CD4+ T,0.002437,1,3,other,0.0,0.0061,294
ACSM3,CD4+ T,0.002415,1,3,other,0.0,0.006,295
ATP5PD,CD4+ T,0.002395,1,3,other,0.0,0.006,296
SSH2,CD4+ T,0.002385,1,3,other,0.0,0.006,297
PRKAR2B,CD4+ T,0.002369,1,3,other,0.0,0.0059,298
PBX1,CD4+ T,0.002358,1,3,tf,0.0,0.0045,299
