gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
RAB11FIP1,Neutrophil,0.002198,1,1,other,0.0,0.0055,217
RNF144B,Neutrophil,0.001948,1,1,other,0.0,0.0049,218
NSMCE2,Neutrophil,0.001925,1,1,other,0.0,0.0048,219
IGF1R,Neutrophil,0.001795,1,1,other,0.0,0.0045,220
CDC42SE2,Neutrophil,0.001784,1,1,other,0.0,0.0045,221
FCER1G,Neutrophil,0.001744,1,1,other,0.0,0.0044,222
MIR646HG,Neutrophil,0.00169,1,1,other,0.0,0.0042,223
TMEM131L,Neutrophil,0.001613,1,1,other,0.0,0.004,224
EXOC4,Neutrophil,0.001583,1,1,other,0.0,0.004,225
FTX,Neutrophil,0.001515,1,1,other,0.0,0.0038,226
FNDC3B,Neutrophil,0.001503,1,1,other,0.0,0.0038,227
PHLPP1,Neutrophil,0.001443,1,1,other,0.0,0.0036,228
PDZD8,Neutrophil,0.00142,1,1,other,0.0,0.0035,229
VMP1,Neutrophil,0.001353,1,1,other,0.0,0.0034,230
FNIP1,Neutrophil,0.001339,1,1,other,0.0,0.0033,231
DOCK5,Neutrophil,0.001334,1,1,other,0.0,0.0033,232
SLCO3A1,Neutrophil,0.001322,1,1,other,0.0,0.0033,233
RNASEK,Neutrophil,0.0013,1,1,other,0.0,0.0032,234
ERG,Neutrophil,0.001269,1,1,tf,0.0,0.0024,235
MRTFA,Neutrophil,0.001211,1,1,other,0.0,0.003,236
STAG1,Neutrophil,0.0012,1,1,other,0.0,0.003,237
FAM172A,Neutrophil,0.001159,1,1,other,0.0,0.0029,238
FOXO3,Neutrophil,0.001135,1,1,tf,0.0,0.0022,239
PELI1,Neutrophil,0.001123,1,1,other,0.0,0.0028,240
HSP90AA1,Neutrophil,0.001108,1,1,other,0.0,0.0028,241
MXD1,Neutrophil,0.001107,1,1,tf,0.0,0.0021,242
MMP8,Neutrophil,0.001092,1,1,other,0.0,0.0027,243
VAV3,Neutrophil,0.001078,1,1,other,0.0,0.0027,244
ANTXR2,Neutrophil,0.001064,1,1,other,0.0,0.0027,245
ORM1,Neutrophil,0.001052,1,1,other,0.0,0.0026,246
FRY,Neutrophil,0.001028,1,1,other,0.0,0.0026,247
PLD1,Neutrophil,0.000999,1,1,other,0.0,0.0025,248
SYK,Neutrophil,0.000935,1,1,other,0.0,0.0023,249
CDK14,Neutrophil,0.000851,1,1,other,0.0,0.0021,250
TFF3,Neutrophil,0.000844,1,1,other,0.0,0.0021,251
MMP9,Neutrophil,0.000837,1,1,other,0.0,0.0021,252
TBC1D5,Neutrophil,0.000825,1,1,other,0.0,0.0021,253
SLC2A3,Neutrophil,0.000824,1,1,other,0.0,0.0021,254
INPP5D,Neutrophil,0.000793,1,1,other,0.0,0.002,255
CTSD,Neutrophil,0.000779,1,1,other,0.0,0.0019,256
BCAS3,Neutrophil,0.000768,1,1,other,0.0,0.0019,257
RELL1,Neutrophil,0.000758,1,1,other,0.0,0.0019,258
LINC01619,Neutrophil,0.000743,1,1,other,0.0,0.0019,259
MT-CO3,Neutrophil,0.000728,1,1,mitochondrial,0.0,0.0026,260
RALGAPA2,Neutrophil,0.000694,1,1,other,0.0,0.0017,261
VPS54,Neutrophil,0.000684,1,1,other,0.0,0.0017,262
ACSL1,Neutrophil,0.000683,1,1,other,0.0,0.0017,263
LYZ,Neutrophil,0.000673,1,1,other,0.0,0.0017,264
ADAMTSL4-AS1,Neutrophil,0.000665,1,1,other,0.0,0.0017,265
NCOA1,Neutrophil,0.000641,1,1,other,0.0,0.0016,266
CDK19,Neutrophil,0.000636,1,1,other,0.0,0.0016,267
FBXL17,Neutrophil,0.000634,1,1,other,0.0,0.0016,268
KIF13A,Neutrophil,0.000628,1,1,other,0.0,0.0016,269
DYRK1A,Neutrophil,0.000616,1,1,other,0.0,0.0015,270
PIK3CB,Neutrophil,0.000613,1,1,other,0.0,0.0015,271
GTDC1,Neutrophil,0.0006,1,1,other,0.0,0.0015,272
PEAK1,Neutrophil,0.000584,1,1,other,0.0,0.0015,273
COTL1,Neutrophil,0.000565,1,1,other,0.0,0.0014,274
FOXN3,Neutrophil,0.000559,1,1,other,0.0,0.0014,275
FOLR3,Neutrophil,0.000556,1,1,other,0.0,0.0014,276
RPS2,Neutrophil,0.000551,1,1,ribosomal,0.0,0.0025,277
CD24,Neutrophil,0.000539,1,1,other,0.0,0.0013,278
TBXAS1,Neutrophil,0.000539,1,1,other,0.0,0.0013,279
ELF2,Neutrophil,0.000538,1,1,other,0.0,0.0013,280
AOAH,Neutrophil,0.000481,1,1,other,0.0,0.0012,281
HP,Neutrophil,0.000478,1,1,other,0.0,0.0012,282
GAB2,Neutrophil,0.000477,1,1,other,0.0,0.0012,283
EXOC6,Neutrophil,0.000475,1,1,other,0.0,0.0012,284
CSTA,Neutrophil,0.000462,1,1,other,0.0,0.0012,285
SERPINB10,Neutrophil,0.000459,1,1,other,0.0,0.0011,286
CAMKMT,Neutrophil,0.000441,1,1,other,0.0,0.0011,287
SLC22A15,Neutrophil,0.000433,1,1,other,0.0,0.0011,288
FBXW7,Neutrophil,0.000433,1,1,other,0.0,0.0011,289
ARID2,Neutrophil,0.000424,1,1,other,0.0,0.0011,290
JMJD1C,Neutrophil,0.000422,1,1,other,0.0,0.0011,291
ADK,Neutrophil,0.000395,1,1,other,0.0,0.001,292
MBD5,Neutrophil,0.000382,1,1,other,0.0,0.001,293
MCTP1,Neutrophil,0.00038,1,1,other,0.0,0.0009,294
ZNF407,Neutrophil,0.000373,1,1,other,0.0,0.0009,295
SRGN,Neutrophil,0.000369,1,1,other,0.0,0.0009,296
PLCG2,Neutrophil,0.000362,1,1,other,0.0,0.0009,297
MCTP2,Neutrophil,0.000359,1,1,other,0.0,0.0009,298
AFF2,Neutrophil,0.000346,1,1,other,0.0,0.0009,299
VTI1A,Neutrophil,0.000333,1,1,other,0.0,0.0008,300
PTBP2,Neutrophil,0.00033,1,1,other,0.0,0.0008,301
RACK1,Neutrophil,0.00032,1,1,other,0.0,0.0008,302
CELF2,Neutrophil,0.000318,1,1,other,0.0,0.0008,303
CYBB,Neutrophil,0.000311,1,1,other,0.0,0.0008,304
FCGR3B,Neutrophil,0.000294,1,1,other,0.0,0.0007,305
S100A11,Neutrophil,0.00027,1,1,other,0.0,0.0007,306
PIK3R5,Neutrophil,0.000265,1,1,other,0.0,0.0007,307
RPS29,Neutrophil,0.000252,1,1,ribosomal,0.0,0.0011,308
MGAT5,Neutrophil,0.000231,1,1,other,0.0,0.0006,309
RAD51B,Neutrophil,0.000221,1,1,other,0.0,0.0006,310
DENND1A,Neutrophil,0.000219,1,1,other,0.0,0.0005,311
NR6A1,Neutrophil,0.000213,1,1,other,0.0,0.0005,312
ARIH1,Neutrophil,0.000209,1,1,other,0.0,0.0005,313
TANC2,Neutrophil,0.000195,1,1,other,0.0,0.0005,314
RPS10,Neutrophil,0.000194,1,1,ribosomal,0.0,0.0009,315
HBD,Neutrophil,0.000187,1,1,hemoglobin,0.0,0.001,316
LPP,Neutrophil,0.000182,1,1,other,0.0,0.0005,317
MAP3K5,Neutrophil,0.000181,1,1,other,0.0,0.0005,318
RIPOR2,Neutrophil,0.00017,1,1,other,0.0,0.0004,319
IQGAP2,Neutrophil,0.000143,1,1,other,0.0,0.0004,320
FAR2,Neutrophil,0.000143,1,1,other,0.0,0.0004,321
KIAA0825,Neutrophil,0.000138,1,1,other,0.0,0.0003,322
SLC39A11,Neutrophil,0.000136,1,1,other,0.0,0.0003,323
TENT2,Neutrophil,0.000108,1,1,other,0.0,0.0003,324
CSF2RA,Neutrophil,0.000105,1,1,other,0.0,0.0003,325
RNF130,Neutrophil,0.000104,1,1,other,0.0,0.0003,326
DENND5A,Neutrophil,0.000101,1,1,other,0.0,0.0003,327
HCK,Neutrophil,9.6e-05,1,1,other,0.0,0.0002,328
LRMDA,Neutrophil,9.4e-05,1,1,other,0.0,0.0002,329
NLK,Neutrophil,9.2e-05,1,1,other,0.0,0.0002,330
NAMPT,Neutrophil,9e-05,1,1,other,0.0,0.0002,331
FBXO11,Neutrophil,8.4e-05,1,1,other,0.0,0.0002,332
ZSWIM6,Neutrophil,8.3e-05,1,1,other,0.0,0.0002,333
MAML3,Neutrophil,7.3e-05,1,1,other,0.0,0.0002,334
OVCH1-AS1,Neutrophil,7.3e-05,1,1,other,0.0,0.0002,335
EVI5,Neutrophil,6.9e-05,1,1,other,0.0,0.0002,336
CYP4F3,Neutrophil,4.7e-05,1,1,other,0.0,0.0001,337
SBF2,Neutrophil,4.6e-05,1,1,other,0.0,0.0001,338
TET2,Neutrophil,3.7e-05,1,1,other,0.0,0.0001,339
RFX3,Neutrophil,3.3e-05,1,1,other,0.0,0.0001,340
MBOAT2,Neutrophil,2.5e-05,1,1,other,0.0,0.0001,341
RABGAP1L,Neutrophil,2.5e-05,1,1,other,0.0,0.0001,342
PELI2,Neutrophil,2.3e-05,1,1,other,0.0,0.0001,343
TRPS1,Neutrophil,1.5e-05,1,1,other,0.0,0.0,344
RPL27A,Neutrophil,1.4e-05,1,1,ribosomal,0.0,0.0001,345
KANSL1,Neutrophil,9e-06,1,1,other,0.0,0.0,346
UTRN,Neutrophil,6e-06,1,1,other,0.0,0.0,347
GPCPD1,Neutrophil,6e-06,1,1,other,0.0,0.0,348
XRCC4,Neutrophil,0.0,0,1,other,0.0,0.0,349
POLR3G,Neutrophil,0.0,0,1,other,0.0,0.0,350
