gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
MT-ND4,Platelet,0.027573,1,1,mitochondrial,0.0,0.0985,153
ZNF274,Platelet,0.02747,1,1,other,0.0458,0.0,154
PPARGC1A,Platelet,0.026883,1,1,other,0.0448,0.0,155
ESRRA,Platelet,0.025112,1,1,other,0.0419,0.0,156
BDP1,Platelet,0.025112,1,1,other,0.0419,0.0,157
S100A9,Platelet,0.022245,1,1,other,0.0,0.0556,158
HBG2,Platelet,0.021552,1,1,hemoglobin,0.0,0.1197,159
RAB32,Platelet,0.020022,1,1,other,0.0,0.0501,160
S100A11,Platelet,0.01952,1,1,other,0.0,0.0488,161
RPL7,Platelet,0.018729,1,1,ribosomal,0.0,0.0851,162
FTL,Platelet,0.018683,1,1,other,0.0,0.0467,163
SPARC,Platelet,0.018455,1,1,other,0.0,0.0461,164
S100A8,Platelet,0.018173,1,1,other,0.0,0.0454,165
TRIM58,Platelet,0.017272,1,1,other,0.0,0.0432,166
RPS11,Platelet,0.017248,1,1,ribosomal,0.0,0.0784,167
GNLY,Platelet,0.016865,1,1,other,0.0,0.0422,168
BRF2,Platelet,0.016757,1,1,other,0.0279,0.0,169
NME2,Platelet,0.015267,1,1,other,0.0,0.0382,170
CD68,Platelet,0.013696,1,1,other,0.0,0.0342,171
PLEK,Platelet,0.012749,1,1,other,0.0,0.0319,172
PRKAR2B,Platelet,0.01267,1,1,other,0.0,0.0317,173
COTL1,Platelet,0.012374,1,1,other,0.0,0.0309,174
PRDX2,Platelet,0.011946,1,1,other,0.0,0.0299,175
RPS10,Platelet,0.01152,1,1,ribosomal,0.0,0.0524,176
LCN2,Platelet,0.011514,1,1,other,0.0,0.0288,177
MPP1,Platelet,0.011514,1,1,other,0.0,0.0288,178
LMNA,Platelet,0.011501,1,1,other,0.0,0.0288,179
MTURN,Platelet,0.01142,1,1,other,0.0,0.0286,180
HIST1H2BJ,Platelet,0.011318,1,1,other,0.0,0.0283,181
MMRN1,Platelet,0.011308,1,1,other,0.0,0.0283,182
RPL13A,Platelet,0.01086,1,1,ribosomal,0.0,0.0494,183
HSP90AB1,Platelet,0.010607,1,1,other,0.0,0.0265,184
CD36,Platelet,0.010598,1,1,other,0.0,0.0265,185
GZMA,Platelet,0.009854,1,1,other,0.0,0.0246,186
PTCRA,Platelet,0.009718,1,1,other,0.0,0.0243,187
GUCY1B3,Platelet,0.009394,1,1,other,0.0,0.0235,188
CTSW,Platelet,0.009112,1,1,other,0.0,0.0228,189
CNST,Platelet,0.007938,1,1,other,0.0,0.0198,190
RPL23,Platelet,0.007299,1,1,ribosomal,0.0,0.0332,191
CLDN5,Platelet,0.007143,1,1,other,0.0,0.0179,192
PF4V1,Platelet,0.006806,1,1,other,0.0,0.017,193
BRF1,Platelet,0.006646,1,1,other,0.0111,0.0,194
XRCC4,Platelet,0.006646,1,1,other,0.0111,0.0,195
GP6,Platelet,0.006328,1,1,other,0.0,0.0158,196
FAM48A,Platelet,0.006232,1,1,other,0.0104,0.0,197
SREBF2,Platelet,0.006232,1,1,other,0.0104,0.0,198
ANXA2,Platelet,0.006165,1,1,other,0.0,0.0154,199
GMPR,Platelet,0.006061,1,1,other,0.0,0.0152,200
LYL1,Platelet,0.005908,1,1,tf,0.0,0.0114,201
CD8B,Platelet,0.005839,1,1,other,0.0,0.0146,202
GZMK,Platelet,0.005252,1,1,other,0.0,0.0131,203
GP1BA,Platelet,0.005133,1,1,other,0.0,0.0128,204
KLRB1,Platelet,0.004892,1,1,other,0.0,0.0122,205
RPS17,Platelet,0.004784,1,1,ribosomal,0.0,0.0217,206
F13A1,Platelet,0.004766,1,1,other,0.0,0.0119,207
HIST1H1C,Platelet,0.004551,1,1,other,0.0,0.0114,208
FTH1,Platelet,0.004396,1,1,other,0.0,0.011,209
STON2,Platelet,0.004077,1,1,other,0.0,0.0102,210
EEF1G,Platelet,0.003797,1,1,other,0.0,0.0095,211
PTGS1,Platelet,0.003644,1,1,other,0.0,0.0091,212
IGFBP2,Platelet,0.003428,1,1,other,0.0,0.0086,213
C2ORF88,Platelet,0.003027,1,1,other,0.0,0.0076,214
CD9,Platelet,0.002753,1,1,other,0.0,0.0069,215
PTPRJ,Platelet,0.002602,1,1,other,0.0,0.0065,216
MMD,Platelet,0.002502,1,1,other,0.0,0.0063,217
HMGB1,Platelet,0.002389,1,1,other,0.0,0.006,218
NEXN,Platelet,0.002228,1,1,other,0.0,0.0056,219
SKAP1,Platelet,0.001712,1,1,other,0.0,0.0043,220
RAB27B,Platelet,0.001645,1,1,other,0.0,0.0041,221
LAPTM4B,Platelet,0.001233,1,1,other,0.0,0.0031,222
LTBP1,Platelet,0.001052,1,1,other,0.0,0.0026,223
CTDSPL,Platelet,0.001036,1,1,other,0.0,0.0026,224
HBG1,Platelet,0.001034,1,1,hemoglobin,0.0,0.0057,225
RACK1,Platelet,0.000454,1,1,other,0.0,0.0011,226
POLR3G,Platelet,0.0,0,1,other,0.0,0.0,227
LGALS1,Platelet,0.0,0,1,other,0.0,0.0,228
