gene,driver_score,evidence_count,gene_category,category_multiplier,geneWeight_norm,geneWeight_raw,DREM_norm,DREM_raw,DREM_trajectories,dynamic_norm,dynamic_qval,dynamic_log2fc,dynamic_track_count,dynamic_direction,network_norm,is_HC_marker,is_MFVS_driver,rank
PPM1L,0.147137,3,other,1.0,0.2997,0.577317,0.0,0.0,0,0.0053,4.579293884768261e-16,0.2968,3,increasing,0.1285,False,False,646
LMNA,0.147019,3,other,1.0,0.2916,0.561852,0.0,0.0,0,0.001,2.9825354326091677e-05,0.1907,3,increasing,0.1684,False,False,647
LATS2,0.146572,3,other,1.0,0.2962,0.570763,0.0,0.0,0,0.0037,1.461192948709316e-13,0.2707,2,increasing,0.1401,False,False,648
PKP4,0.146473,3,other,1.0,0.2943,0.567059,0.0,0.0,0,0.0033,6.303372306013372e-12,0.2527,3,increasing,0.1478,False,False,649
MSI2,0.146473,3,other,1.0,0.3056,0.588677,0.0,0.0,0,0.0036,1.3239050605090449e-12,0.2603,3,increasing,0.102,False,False,650
WARS,0.146251,3,other,1.0,0.2892,0.557324,0.0,0.0,0,0.0,0.03813302223462112,0.0899,1,increasing,0.1727,False,False,651
RELL1,0.146075,3,other,1.0,0.3051,0.587793,0.0,0.0,0,0.0054,2.3468881159437337e-16,0.2989,3,increasing,0.0966,False,False,652
HIST1H2AJ,0.146073,3,other,1.0,0.2664,0.513906,0.0,0.0,0,0.0002,0.03597935803063646,0.1598,1,decreasing,0.2619,False,False,653
HIST1H1B,0.146031,3,other,1.0,0.2875,0.554061,0.0,0.0,0,0.0002,0.0044033859173986944,0.0971,2,increasing,0.1773,False,False,654
NFE2,0.145922,2,tf,1.56,0.0,0.0,0.1707,360.0097,81,0.0,1.0,0.0,0,N/A,0.464,False,True,655
LRP1,0.145856,3,other,1.0,0.3032,0.584019,0.0,0.0,0,0.0006,7.424186865367499e-05,0.154,1,increasing,0.1121,False,False,656
FER,0.145754,3,other,1.0,0.2953,0.56892,0.0,0.0,0,0.0042,7.626529848307666e-14,0.2737,3,increasing,0.1357,False,False,657
HIST1H3B,0.145704,2,other,1.0,0.2713,0.523142,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.3025,False,False,658
ETS1,0.145679,2,other,1.0,0.0,0.0,0.3327,690.5103,81,0.0,1.0,0.0,0,N/A,0.5557,False,True,659
CENPF,0.145676,3,other,1.0,0.2855,0.550248,0.0,0.0,0,0.0002,0.02237881636148487,0.181,2,decreasing,0.1819,False,False,660
MANBA,0.145666,3,other,1.0,0.3046,0.586688,0.0,0.0,0,0.0031,5.996300154408958e-11,0.2413,4,increasing,0.0998,False,False,661
CTCFL,0.145583,2,other,1.0,0.0,0.0,0.4152,858.9029,81,0.0,1.0,0.0,0,N/A,0.3486,False,True,662
