gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
CSF1,Eryp,4.7e-05,1,2,other,0.0,0.0001,722
ZNF407,Eryp,4.6e-05,1,2,other,0.0,0.0001,723
DPH6,Eryp,4.6e-05,1,2,other,0.0,0.0001,724
AL157895.1,Eryp,4.5e-05,1,2,other,0.0,0.0001,725
AKT3,Eryp,4.3e-05,1,2,other,0.0,0.0001,726
TMEM131L,Eryp,4.3e-05,1,2,other,0.0,0.0001,727
SIPA1L3,Eryp,4.3e-05,1,2,other,0.0,0.0001,728
WDPCP,Eryp,4.1e-05,1,2,other,0.0,0.0001,729
GNA12,Eryp,4.1e-05,1,2,other,0.0,0.0001,730
MCU,Eryp,4.1e-05,1,2,other,0.0,0.0001,731
CLEC11A,Eryp,4.1e-05,1,2,other,0.0,0.0001,732
SDCCAG8,Eryp,4e-05,1,2,other,0.0,0.0001,733
USP9Y,Eryp,4e-05,1,2,other,0.0,0.0001,734
ARMH3,Eryp,4e-05,1,2,other,0.0,0.0001,735
NEAT1,Eryp,3.8e-05,1,2,other,0.0,0.0001,736
RRM2,Eryp,3.7e-05,1,2,other,0.0,0.0001,737
MTURN,Eryp,3.5e-05,1,2,other,0.0,0.0001,738
CD109,Eryp,3.4e-05,1,2,other,0.0,0.0001,739
WARS,Eryp,3.4e-05,1,2,other,0.0,0.0001,740
MGST1,Eryp,3.4e-05,1,2,other,0.0,0.0001,741
LPP,Eryp,3.3e-05,1,2,other,0.0,0.0001,742
AIF1,Eryp,3.2e-05,1,2,other,0.0,0.0001,743
PLCB1,Eryp,3.2e-05,1,2,other,0.0,0.0001,744
CTNND1,Eryp,3.1e-05,1,2,other,0.0,0.0001,745
VCL,Eryp,3.1e-05,1,2,other,0.0,0.0001,746
DIAPH3,Eryp,3.1e-05,1,2,other,0.0,0.0001,747
RABGAP1,Eryp,3.1e-05,1,2,other,0.0,0.0001,748
PEAK1,Eryp,3e-05,1,2,other,0.0,0.0001,749
AGTPBP1,Eryp,3e-05,1,2,other,0.0,0.0001,750
GALNT7,Eryp,3e-05,1,2,other,0.0,0.0001,751
CEP70,Eryp,2.9e-05,1,2,other,0.0,0.0001,752
